Timestamp,Game State,Team,Player,Penalized,Pose X,Pose Y, Pose A, isFallen, Ball Age, Ball X, Ball Y
16225,R,19,4,U,-691.5171,687.16925,-1.4177704,false,192044.0,0.0,0.0
16320,R,13,4,U,-1665.6215,-830.9199,-0.16509712,false,-1.0,-10.0,-10.0
16328,R,13,2,U,-3049.7112,558.8512,-0.22632857,false,-1.0,-10.0,-10.0
16339,R,13,6,U,-1734.0312,591.9173,0.058275063,false,-1.0,-10.0,-10.0
16343,R,13,5,U,-3240.1086,-766.559,-0.04470484,false,-1.0,-10.0,-10.0
16471,R,19,6,U,-2035.802,-1043.8003,1.4631431,false,378380.0,0.0,0.0
16515,R,19,1,U,-4794.1284,2137.3438,-1.456408,false,310201.0,0.0,0.0
16608,R,13,1,U,-4165.1353,125.621704,-0.1209365,false,-1.0,-10.0,-10.0
16754,R,13,7,U,-1156.2446,-304.85013,-0.21441422,false,-1.0,-10.0,-10.0
16903,R,19,5,U,-3200.4055,-660.1599,1.715356,false,310534.0,0.0,0.0
17014,R,19,2,U,-3233.5095,544.01434,-0.41289136,false,310498.0,0.0,0.0
17034,R,19,7,U,-790.4293,-1447.8192,0.15889525,false,310720.0,0.0,0.0
17128,R,19,3,U,-1449.0393,1669.0364,0.23021302,false,379251.0,0.0,0.0
17325,R,13,4,U,-1648.9454,-704.8956,-0.024644421,false,-1.0,-10.0,-10.0
17327,R,13,2,U,-3009.1267,625.7198,-0.19941543,false,-1.0,-10.0,-10.0
17350,R,13,5,U,-3164.8882,-754.8185,-0.092237756,false,-1.0,-10.0,-10.0
17353,R,13,6,U,-1761.7734,486.14008,0.049082175,false,-1.0,-10.0,-10.0
17355,R,19,4,U,-661.4949,496.32507,-1.3397977,false,193090.0,0.0,0.0
17477,R,19,6,U,-2045.6034,-838.3969,1.4981539,false,379410.0,0.0,0.0
17625,R,13,1,U,-4175.5757,81.966965,-0.058870967,false,-1.0,-10.0,-10.0
17630,R,19,1,U,-4767.8887,2089.5762,-0.17425913,false,311217.0,0.0,0.0
17748,R,13,7,U,-1227.8896,-166.94069,-0.14810519,false,-1.0,-10.0,-10.0
17924,R,19,5,U,-3231.6365,-571.357,0.48508033,false,311567.0,0.0,0.0
18017,R,19,7,U,-790.4293,-1447.8197,0.1595267,false,311734.0,0.0,0.0
18032,R,19,2,U,-3209.6443,417.80814,0.19415551,false,311531.0,0.0,0.0
18165,R,19,3,U,-1449.0393,1669.0365,0.23064901,false,380284.0,0.0,0.0
18319,R,13,4,U,-1681.1495,-682.53375,-0.05931946,false,-1.0,-10.0,-10.0
18327,R,13,2,U,-3055.8157,573.971,-0.06633132,false,-1.0,-10.0,-10.0
18333,R,13,6,U,-1720.954,404.48474,0.11097825,false,-1.0,-10.0,-10.0
18335,R,19,4,U,-584.7636,311.4975,-1.1434954,false,194177.0,0.0,0.0
18348,R,13,5,U,-3145.7966,-709.71185,-0.08792506,false,-1.0,-10.0,-10.0
